labels	start	stop
noEnergy	0.0	0.3
female	0.3	3.3000000000000003
noEnergy	3.3000000000000003	4.14
male	4.14	5.82
noEnergy	5.82	6.5
female	6.5	11.36
male	11.36	12.98
noEnergy	12.98	13.66
female	13.66	15.74
noEnergy	15.74	16.56
female	16.56	22.14
noEnergy	22.14	22.66
female	22.66	25.22
noEnergy	25.22	25.900000000000002
female	25.900000000000002	26.98
noEnergy	26.98	28.82
male	28.82	31.2
noEnergy	31.2	31.740000000000002
female	31.740000000000002	34.36
noEnergy	34.36	35.800000000000004
male	35.800000000000004	38.08
noEnergy	38.08	38.72
female	38.72	42.54
male	42.54	45.08
noEnergy	45.08	46.12
male	46.12	48.46
noEnergy	48.46	50.1
male	50.1	52.82
noEnergy	52.82	53.38
female	53.38	55.58
noEnergy	55.58	56.56
female	56.56	57.1
noEnergy	57.1	58.34
male	58.34	59.72
noEnergy	59.72	62.28
female	62.28	62.76
noEnergy	62.76	63.6
female	63.6	64.68
noEnergy	64.68	65.66
male	65.66	67.34
noEnergy	67.34	69.58
female	69.58	70.72
noEnergy	70.72	71.72
female	71.72	74.14
noEnergy	74.14	75.22
male	75.22	77.88
noEnergy	77.88	79.56
female	79.56	81.68
noEnergy	81.68	83.0
female	83.0	85.48
male	85.48	86.7
noEnergy	86.7	87.7
male	87.7	88.86
noEnergy	88.86	90.34
male	90.34	94.46000000000001
noise	94.46000000000001	96.7
noEnergy	96.7	100.34
